instance,numOfVertices,numOfEdges,dijkstra,dial,radix
Long-C.1.0,1048576,4063200,3.2592949384,3.0665474171000002,4.273523733599999
Long-C.4.0,1048576,4063200,2.8508118824999995,4.3801440332,3.8408196251999995
Long-C.10.0,1048576,4063200,3.0942756949999994,4.3744681655,4.0561622751
Long-C.9.0,1048576,4063200,2.8783225192,4.953196976399999,4.1521309016000005
Long-C.0.0,1048576,4063200,2.8246673227999994,3.9305363746,9.865040801100001
Long-C.15.0,1048576,4063200,2.9853217751,4.976429603500001,3.7631980129
Long-C.13.0,1048576,4063200,2.9047445857999996,5.105624794700001,3.7713099152
Long-C.7.0,1048576,4063200,2.9893058414,5.124868423800001,3.8046460110999996
Long-C.14.0,1048576,4063200,2.9476868598,5.2269900184,3.8610785691000005
Long-C.12.0,1048576,4063200,2.8955461981,4.6516842613,3.9295846818999998
Long-C.11.0,1048576,4063200,2.973222333,4.4235605102,3.9532026541
Long-C.6.0,1048576,4063200,2.9890251285,4.4973693677,4.1848619025
Long-C.5.0,1048576,4063200,3.0255668247999994,4.3962255610000005,4.028466022000001
Long-C.8.0,1048576,4063200,2.9407601475000003,4.6348998230000005,3.8067751280000004
Long-C.2.0,1048576,4063200,2.9615033531000003,3.3973400792999997,3.8175220101000003
Long-C.3.0,1048576,4063200,2.9649265757,3.6393615422000005,3.8149835907
