instance,numOfVertices,numOfEdges,dijkstra,dial,radix
Long-n.10.0,1024,3936,0.0020861239974670357,0.004980783944396949,0.003253763585510288
Long-n.11.0,2048,7904,0.004289827425354006,0.011228487579772918,0.006739046195129407
Long-n.12.0,4096,15840,0.010720577786743173,0.022292928593017722,0.01916970109606926
Long-n.13.0,8192,31712,0.019694715943115212,0.0467319679733886,0.034180515568359465
Long-n.14.0,16384,63456,0.0476973759243164,0.08653987589111334,0.07006021960693357
Long-n.15.0,32768,126944,0.10162007001953137,0.17731708862695308,0.13808131437500004
Long-n.16.0,65536,253920,0.18047460312109384,0.3532755003808592,0.2530183016074219
Long-n.17.0,131072,507872,0.3633792331523437,0.7154444880429686,0.4992651029765624
Long-n.18.0,262144,1015776,0.7431251241874995,1.45117931884375,1.0030134357968747
Long-n.19.0,524288,2031584,1.4963891197499997,3.030474530828124,2.054096214953125
Long-n.20.0,1048576,4063200,3.143910858875,6.089909136406249,4.050094930625
Long-n.21.0,2097152,8126432,6.6705095553125,12.497067426312501,7.6875122860625
