instance,numOfVertices,numOfEdges,dijkstra,dial,radix,winner
Random4-C.9.0,1048576,4194297,9.6093305429,8.6379646055,10.905075133299999,radix
Random4-C.10.0,1048576,4194298,9.5888398415,10.518975519700001,6.5338419083999995,dial
Random4-C.0.0,1048576,4194299,5.993001857099999,1418.924096878,Inf,dial
Random4-C.14.0,1048576,4194299,10.9672073849,10.7951398996,6.2920630960000015,dial
Random4-C.5.0,1048576,4194299,9.009424348900001,11.915803606,30.697419479249998,dial
Random4-C.6.0,1048576,4194299,9.5105805461,7.831039433800001,12.52623888025,radix
Random4-C.13.0,1048576,4194300,9.535771383600002,11.1560014625,6.121547350099999,dial
Random4-C.1.0,1048576,4194300,6.1360902814,805.6558545390001,Inf,dijkstra
Random4-C.7.0,1048576,4194301,9.4321750153,6.4001441915,7.679365549999998,dial
Random4-C.11.0,1048576,4194302,9.657148033799999,10.9868409866,5.959883075,dial
Random4-C.12.0,1048576,4194302,9.7099866553,11.362825133700003,6.181190995700001,dial
Random4-C.4.0,1048576,4194302,8.810325354400002,27.0620971887,100.701237833,radix
Random4-C.2.0,1048576,4194302,6.8870371192999995,273.4612754638,Inf,dial
Random4-C.15.0,1048576,4194302,9.875517558099999,10.801080030000001,5.9968268084,dial
Random4-C.3.0,1048576,4194303,7.333559062099999,74.6806018208,321.236012459,radix
Random4-C.8.0,1048576,4194304,9.620586130200001,7.322049617500001,6.285543970699999,radix
instance,numOfVertices,numOfEdges,averageTime,averageTime,averageTime,dijkstra
