instance,numOfVertices,numOfEdges,dijkstra,dial,radix
Random4-n.10.0,1024,4086,0.00225600315008544,0.0034183501439514576,0.0034267709121399083
Random4-n.11.0,2048,8185,0.004785657981933592,0.0075276205435791015,0.007170668618774403
Random4-n.12.0,4096,16380,0.011216954811401402,0.01618701918457035,0.016615623431030225
Random4-n.13.0,8192,32758,0.025348962907714868,0.04614418074169916,0.041931079871337824
Random4-n.14.0,16384,65530,0.06188666963964842,0.08907238471435547,0.10021234709130877
Random4-n.15.0,32768,131065,0.12292497887207024,0.16962416159179686,0.18730912483886722
Random4-n.16.0,65536,262141,0.3620450764843749,0.44777683274023394,0.38530795455078143
Random4-n.17.0,131072,524285,0.7666143116054692,0.9769715419921869,0.9751193923749997
Random4-n.18.0,262144,1048573,1.6305164325156252,2.0728222815156245,1.8664799904609377
Random4-n.19.0,524288,2097147,3.797056299421875,4.470550488562501,4.107925159078127
Random4-n.20.0,1048576,4194298,7.79881292871875,8.997619478093752,8.04116232184375
Random4-n.21.0,2097152,8388605,19.927493537062503,23.87643502025,17.2889086605
