instance,numOfVertices,numOfEdges,dijkstra,dial,radix,winner
Square-C.15.0,1048576,4190208,4.5274520561,6.646807551899999,5.9181624021,dijkstra
Square-C.3.0,1048576,4190208,4.1334390483,4.3675045186000006,10.629518451100001,radix
Square-C.4.0,1048576,4190208,4.5456477132,4.418815773899999,6.7172462549,dial
Square-C.8.0,1048576,4190208,4.3962876316,6.9470514648999995,6.095514290599999,dijkstra
Square-C.6.0,1048576,4190208,4.746003175999999,5.8820257582,6.0336833436,dijkstra
Square-C.10.0,1048576,4190208,4.1549110858,7.2168978693,5.9419508427,dijkstra
Square-C.2.0,1048576,4190208,4.3015504529,4.7026996202000015,22.3771938196,radix
Square-C.12.0,1048576,4190208,4.2189905591,6.8743291579,5.9362803977,dijkstra
Square-C.0.0,1048576,4190208,4.228685969599999,1159.717199662,2517.204727635,dial
Square-C.11.0,1048576,4190208,4.4775055756,6.789056374100001,6.3620110599,dijkstra
Square-C.13.0,1048576,4190208,4.390935638,6.8608993903,5.9814625368000005,dijkstra
Square-C.1.0,1048576,4190208,4.1759861284,5.90415942,48.23564703066668,dijkstra
Square-C.7.0,1048576,4190208,4.5741419757,6.461974019600001,6.1133446237,dijkstra
Square-C.9.0,1048576,4190208,4.680477289300001,6.9580244599,6.048200338999999,dijkstra
Square-C.14.0,1048576,4190208,4.5410292833999994,6.9064226257,6.0381670833,dijkstra
Square-C.5.0,1048576,4190208,4.5877804178999995,4.9860381164,6.1495785074,dijkstra
instance,numOfVertices,numOfEdges,averageTime,averageTime,averageTime,dijkstra
