instance,numOfVertices,numOfEdges,dijkstra,dial,radix,winner
Square-n.10.0,1024,3968,0.0020643785074768266,0.004407313769744888,0.0031443756435852238,dijkstra
Square-n.20.0,1048576,4190208,3.8878696624375,7.17079712540625,5.51527505584375,dijkstra
Square-n.17.0,131044,522728,0.4289245053125,0.7410607035273441,0.5862839624296874,dijkstra
Square-n.14.0,16384,65024,0.0494263545917968,0.08282474271240232,0.06310949760742184,dijkstra
Square-n.11.0,2025,7920,0.004089201435058613,0.00695817424475096,0.007913472560852019,dijkstra
Square-n.21.0,2096704,8381024,8.368573462125001,14.593704385062502,13.226629600812498,radix
Square-n.18.0,262144,1046528,0.8776241413671874,1.629459539476562,1.2304641456874996,dijkstra
Square-n.15.0,32761,130320,0.09728008847167946,0.1702236856611328,0.1276814692138672,dijkstra
Square-n.12.0,4096,16128,0.009569888468261739,0.01997346033398444,0.013716335954467808,dijkstra
Square-n.19.0,524176,2093808,1.8781530790468741,3.5557033853437505,2.6153317251718757,dijkstra
Square-n.16.0,65536,261120,0.19690640055664077,0.3153726706171875,0.3092767058789061,dijkstra
Square-n.13.0,8190,32398,0.024116672669433604,0.04233081239233399,0.026985765982421927,dijkstra
instance,numOfVertices,numOfEdges,averageTime,averageTime,averageTime,dijkstra
