k,avgFlow,avgTime,avgAugmentingPaths
1,1.0,1.7726000000000002e-6,2.0
2,2.575,3.5241999999999992e-6,3.0
3,5.075,1.1432175e-5,5.025
4,8.35,3.288437499999999e-5,7.575
5,12.95,0.00010154034999999999,11.175
6,18.375,0.00030457270000000005,15.75
7,25.1,0.0030781709,20.275
8,32.4,0.0022725540499999993,25.575
9,41.575,0.005756397699999999,33.425
10,48.125,0.013098962175000001,38.025
11,61.525,0.03521061754999999,48.1
12,71.9,0.09049790675000001,57.125
13,83.4,0.20756031137500003,64.725
14,97.0,0.48761806899999993,74.825
15,110.775,1.1891446736250004,86.6
16,123.2,2.82782053805,97.575
